,index_1,index_2,text_1,text_2,label_1,label_2
0,0,1,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","John's free-time hobbies are reading, rowing, spelunking, Drone flying, making ceramics, and running.",1_2_4_6_8_10,1_2_4_6_8_10
1,0,2,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","In his free time, John likes making ceramics, spelunking, rowing, reading, piloting Aerial drones, and jogging as hobbies.",1_2_4_6_8_10,1_2_4_6_8_10
2,0,3,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","John's free-time hobbies are making pottery, reading, running, piloting Aerial drones, caving, and rowing.",1_2_4_6_8_10,1_2_4_6_8_10
3,0,4,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","As hobbies, John likes sculling, making ceramics, reading, piloting Aerial drones, spelunking, and running in his free time.",1_2_4_6_8_10,1_2_4_6_8_10
4,0,5,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","John's free-time hobbies are Drone flying, potholing, making pottery, running, rowing, and reading.",1_2_4_6_8_10,1_2_4_6_8_10
5,0,6,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","As hobbies, John likes jogging, sculling, spelunking, reading, Drone flying, and making ceramics in his free time.",1_2_4_6_8_10,1_2_4_6_8_10
6,0,7,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","In his free time, John likes piloting Aerial drones, spelunking, reading, jogging, making ceramics, and rowing as hobbies.",1_2_4_6_8_10,1_2_4_6_8_10
7,0,8,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","John's free-time hobbies are making ceramics, reading, Drone flying, and writing journals.",1_2_4_6_8_10,2_4_8_9
8,0,9,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","John's free-time hobbies are piloting Aerial drones, making pottery, reading, and journal writings.",1_2_4_6_8_10,2_4_8_9
9,0,10,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","John's free-time hobbies are Drone flying, reading, making pottery, and writing journals.",1_2_4_6_8_10,2_4_8_9
10,0,11,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","In his free time, John likes reading, making pottery, Drone flying, and journal writings as hobbies.",1_2_4_6_8_10,2_4_8_9
11,0,12,"In his free time, John likes reading, piloting Aerial drones, running, making pottery, potholing, and sculling as hobbies.","As hobbies, John likes reading, journal writings, making pottery, and Drone flying in his free time.",1_2_4_6_8_10,2_4_8_9
